(u'wednesday may 23 1990', '1990-05-23')
(u'friday march 12 1993', '1993-03-12')
(u'friday october 14 1994', '1994-10-14')
(u'20.08.17', '2017-08-20')
(u'tuesday july 31 1990', '1990-07-31')
(u'friday february 8 1991', '1991-02-08')
(u'friday october 14 1977', '1977-10-14')
(u'december 29 2013', '2013-12-29')
(u'21 10 08', '2008-10-21')
(u'16 jan 2003', '2003-01-16')
(u'12 apr 2008', '2008-04-12')
(u'friday july 29 1988', '1988-07-29')
(u'13 06 10', '2010-06-13')
(u'saturday january 26 1980', '1980-01-26')
(u'1/11/70', '1970-01-11')
(u'23 nov 2002', '2002-11-23')
(u'6 september 2006', '2006-09-06')
(u'16 jan 1998', '1998-01-16')
(u'friday april 26 1996', '1996-04-26')
(u'18 sep 1996', '1996-09-18')
(u'11/9/71', '1971-11-09')
(u'10 jun 1997', '1997-06-10')
(u'8 april 2012', '2012-04-08')
(u'12/22/70', '1970-12-22')
(u'wednesday august 18 1982', '1982-08-18')
(u'saturday may 13 1995', '1995-05-13')
(u'friday june 9 1989', '1989-06-09')
(u'1 jul 2003', '2003-07-01')
(u'wednesday july 27 1977', '1977-07-27')
(u'12 december 1999', '1999-12-12')
(u'tuesday june 28 1994', '1994-06-28')
(u'09 may 2008', '2008-05-09')
(u'18 feb 2001', '2001-02-18')
(u'12 jul 2003', '2003-07-12')
(u'wednesday january 11 1984', '1984-01-11')
(u'october 17 2014', '2014-10-17')
(u'friday july 31 1987', '1987-07-31')
(u'3 march 2000', '2000-03-03')
(u'saturday may 3 1986', '1986-05-03')
(u'30 august 2011', '2011-08-30')
(u'26 september 2005', '2005-09-26')
(u'27 feb 1998', '1998-02-27')
(u'august 6 2015', '2015-08-06')
(u'september 1 2014', '2014-09-01')
(u'tuesday december 15 1987', '1987-12-15')
(u'thursday november 25 1982', '1982-11-25')
(u'saturday october 26 1985', '1985-10-26')
(u'friday december 25 1981', '1981-12-25')
(u'tuesday january 3 1984', '1984-01-03')
(u'march 27 1975', '1975-03-27')
(u'30 may 2007', '2007-05-30')
(u'wednesday march 30 1988', '1988-03-30')
(u'22 december 2011', '2011-12-22')
(u'6/11/70', '1970-06-11')
(u'tuesday november 27 1984', '1984-11-27')
(u'01.01.17', '2017-01-01')
(u'21 july 2012', '2012-07-21')
(u'02.09.18', '2018-09-02')
(u'08.07.17', '2017-07-08')
(u'june 25 2013', '2013-06-25')
(u'18 jul 2001', '2001-07-18')
(u'10.04.17', '2017-04-10')
(u'wednesday february 9 1977', '1977-02-09')
(u'wednesday june 17 1992', '1992-06-17')
(u'5 dec 1997', '1997-12-05')
(u'31 mar 2008', '2008-03-31')
(u'6 september 1998', '1998-09-06')
(u'saturday october 6 1979', '1979-10-06')
(u'10 august 2012', '2012-08-10')
(u'sunday november 6 1994', '1994-11-06')
(u'23 jun 2001', '2001-06-23')
(u'7/8/70', '1970-07-08')
(u'26.03.18', '2018-03-26')
(u'4/21/71', '1971-04-21')
(u'12.04.18', '2018-04-12')
(u'16 aug 2000', '2000-08-16')
(u'sunday december 6 1992', '1992-12-06')
(u'19 jul 2001', '2001-07-19')
(u'wednesday march 31 1993', '1993-03-31')
(u'november 16 2015', '2015-11-16')
(u'15 11 09', '2009-11-15')
(u'8/24/70', '1970-08-24')
(u'tuesday december 25 1990', '1990-12-25')
(u'saturday september 21 1985', '1985-09-21')
(u'21 feb 2008', '2008-02-21')
(u'monday august 26 1985', '1985-08-26')
(u'thursday february 12 1987', '1987-02-12')
(u'march 22 2016', '2016-03-22')
(u'8 may 1997', '1997-05-08')
(u'tuesday april 22 1986', '1986-04-22')
(u'friday september 4 1981', '1981-09-04')
(u'6/11/70', '1970-06-11')
(u'monday february 4 1980', '1980-02-04')
(u'sunday october 21 1979', '1979-10-21')
(u'1 july 2006', '2006-07-01')
(u'28.11.16', '2016-11-28')
(u'wednesday november 9 1988', '1988-11-09')
(u'jan 28 1973', '1973-01-28')
(u'1/6/71', '1971-01-06')
(u'24.03.18', '2018-03-24')
(u'march 29 2013', '2013-03-29')
(u'december 7 2012', '2012-12-07')
(u'26 january 2005', '2005-01-26')
(u'tuesday october 25 1994', '1994-10-25')
(u'thursday october 31 1985', '1985-10-31')
(u'tuesday march 3 1987', '1987-03-03')
(u'sunday november 7 1993', '1993-11-07')
(u'sunday october 7 1979', '1979-10-07')
(u'friday october 5 1990', '1990-10-05')
(u'april 18 2016', '2016-04-18')
(u'saturday june 17 1995', '1995-06-17')
(u'monday may 15 1995', '1995-05-15')
(u'sunday september 19 1993', '1993-09-19')
(u'tuesday october 4 1994', '1994-10-04')
(u'september 7 2013', '2013-09-07')
(u'07 oct 2001', '2001-10-07')
(u'15 january 2006', '2006-01-15')
(u'may 7 2015', '2015-05-07')
(u'11 feb 2007', '2007-02-11')
(u'30 jul 2004', '2004-07-30')
(u'14 january 2011', '2011-01-14')
(u'tuesday april 17 1990', '1990-04-17')
(u'13 december 1999', '1999-12-13')
(u'saturday november 20 1982', '1982-11-20')
(u'19 september 2012', '2012-09-19')
(u'6 02 10', '2010-02-06')
(u'thursday april 1 1993', '1993-04-01')
(u'20 sep 2001', '2001-09-20')
(u'november 20 2016', '2016-11-20')
(u'friday july 12 1985', '1985-07-12')
(u'16 mar 1998', '1998-03-16')
(u'november 11 2012', '2012-11-11')
(u'friday february 17 1995', '1995-02-17')
(u'dec 9 1973', '1973-12-09')
(u'monday september 24 1979', '1979-09-24')
(u'april 15 1974', '1974-04-15')
(u'saturday december 12 1987', '1987-12-12')
(u'jan 29 1973', '1973-01-29')
(u'15 february 2006', '2006-02-15')
(u'saturday may 27 1978', '1978-05-27')
(u'8/21/70', '1970-08-21')
(u'jun 20 1972', '1972-06-20')
(u'11/1/71', '1971-11-01')
(u'28 05 10', '2010-05-28')
(u'11/7/71', '1971-11-07')
(u'sunday april 3 1988', '1988-04-03')
(u'24 march 2011', '2011-03-24')
(u'10 07 10', '2010-07-10')
(u'tuesday august 16 1983', '1983-08-16')
(u'9/10/70', '1970-09-10')
(u'13 august 2011', '2011-08-13')
(u'30 nov 2001', '2001-11-30')
(u'october 25 2014', '2014-10-25')
(u'16 nov 2003', '2003-11-16')
(u'18 jan 2007', '2007-01-18')
(u'6 april 2000', '2000-04-06')
(u'9 feb 2003', '2003-02-09')
(u'7 june 2000', '2000-06-07')
(u'october 21 1975', '1975-10-21')
(u'monday february 22 1982', '1982-02-22')
(u'2 july 2005', '2005-07-02')
(u'september 20 2015', '2015-09-20')
(u'wednesday october 12 1977', '1977-10-12')
(u'wednesday march 21 1979', '1979-03-21')
(u'tuesday may 14 1985', '1985-05-14')
(u'14 jul 1997', '1997-07-14')
(u'march 2 2013', '2013-03-02')
(u'thursday september 29 1977', '1977-09-29')
(u'august 16 2016', '2016-08-16')
(u'wednesday august 25 1993', '1993-08-25')
(u'jul 30 1972', '1972-07-30')
(u'thursday may 11 1995', '1995-05-11')
(u'tuesday may 5 1987', '1987-05-05')
(u'thursday august 3 1989', '1989-08-03')
(u'december 29 2013', '2013-12-29')
(u'6/30/71', '1971-06-30')
(u'saturday may 26 1984', '1984-05-26')
(u'10 oct 1996', '1996-10-10')
(u'saturday april 18 1987', '1987-04-18')
(u'saturday february 26 1994', '1994-02-26')
(u'18 jul 2003', '2003-07-18')
(u'wednesday july 22 1992', '1992-07-22')
(u'june 1 1974', '1974-06-01')
(u'31 jan 1997', '1997-01-31')
(u'oct 25 1972', '1972-10-25')
(u'sunday december 21 1986', '1986-12-21')
(u'27 oct 2006', '2006-10-27')
(u'wednesday april 21 1982', '1982-04-21')
(u'thursday april 2 1981', '1981-04-02')
(u'sunday april 1 1979', '1979-04-01')
(u'1/18/71', '1971-01-18')
(u'25 mar 1998', '1998-03-25')
(u'saturday december 2 1978', '1978-12-02')
(u'13 october 2005', '2005-10-13')
(u'may 11 1973', '1973-05-11')
(u'november 5 1975', '1975-11-05')
(u'22 aug 2000', '2000-08-22')
(u'18 february 2000', '2000-02-18')
(u'saturday november 26 1983', '1983-11-26')
(u'monday may 23 1977', '1977-05-23')
(u'17 may 2011', '2011-05-17')
(u'12 april 2000', '2000-04-12')
(u'tuesday april 6 1993', '1993-04-06')
(u'tuesday august 10 1976', '1976-08-10')
(u'wednesday may 7 1986', '1986-05-07')
(u'3 march 2000', '2000-03-03')
(u'saturday march 5 1977', '1977-03-05')
(u'6 may 1997', '1997-05-06')
(u'27 april 2012', '2012-04-27')
(u'sunday november 19 1989', '1989-11-19')
(u'saturday may 4 1996', '1996-05-04')
(u'wednesday february 28 1990', '1990-02-28')
(u'december 18 1975', '1975-12-18')
(u'6 oct 1996', '1996-10-06')
(u'jan 21 1974', '1974-01-21')
(u'september 24 2013', '2013-09-24')
(u'may 20 2015', '2015-05-20')
(u'january 5 2015', '2015-01-05')
(u'22 september 2012', '2012-09-22')
(u'monday january 25 1982', '1982-01-25')
(u'28 june 1999', '1999-06-28')
(u'20 july 2006', '2006-07-20')
(u'tuesday april 2 1991', '1991-04-02')
(u'3 feb 2004', '2004-02-03')
(u'05 jan 2001', '2001-01-05')
(u'jun 16 1973', '1973-06-16')
(u'may 11 1972', '1972-05-11')
(u'february 17 2014', '2014-02-17')
(u'march 15 2014', '2014-03-15')
(u'25 march 2005', '2005-03-25')
(u'sunday september 10 1995', '1995-09-10')
(u'27 12 08', '2008-12-27')
(u'september 16 2014', '2014-09-16')
(u'08 nov 2006', '2006-11-08')
(u'5 apr 2003', '2003-04-05')
(u'apr 30 1972', '1972-04-30')
(u'monday may 24 1982', '1982-05-24')
(u'sunday april 27 1986', '1986-04-27')
(u'thursday may 28 1992', '1992-05-28')
(u'friday april 20 1984', '1984-04-20')
(u'12 03 09', '2009-03-12')
(u'20.08.18', '2018-08-20')
(u'saturday april 1 1989', '1989-04-01')
(u'9 05 09', '2009-05-09')
(u'monday may 13 1985', '1985-05-13')
(u'17 apr 2008', '2008-04-17')
(u'wednesday october 13 1982', '1982-10-13')
(u'monday february 9 1987', '1987-02-09')
(u'monday july 2 1979', '1979-07-02')
(u'tuesday january 23 1996', '1996-01-23')
(u'tuesday february 12 1985', '1985-02-12')
(u'july 6 2013', '2013-07-06')
(u'sunday may 30 1976', '1976-05-30')
(u'november 25 2013', '2013-11-25')
(u'sunday august 31 1980', '1980-08-31')
(u'tuesday august 26 1980', '1980-08-26')
(u'8 sep 2003', '2003-09-08')
(u'27 apr 2003', '2003-04-27')
(u'thursday february 17 1977', '1977-02-17')
(u'20 april 1999', '1999-04-20')
(u'thursday december 31 1987', '1987-12-31')
(u'26 september 1999', '1999-09-26')
(u'sunday september 9 1990', '1990-09-09')
(u'wednesday december 8 1993', '1993-12-08')
(u'november 22 1974', '1974-11-22')
(u'may 19 1974', '1974-05-19')
(u'7 august 2011', '2011-08-07')
(u'friday december 10 1976', '1976-12-10')
(u'2 december 2010', '2010-12-02')
(u'sunday january 13 1985', '1985-01-13')
(u'8 jun 2003', '2003-06-08')
(u'thursday march 22 1990', '1990-03-22')
(u'thursday december 16 1993', '1993-12-16')
(u'thursday may 27 1982', '1982-05-27')
(u'saturday february 25 1984', '1984-02-25')
(u'tuesday july 26 1977', '1977-07-26')
(u'06 sep 2008', '2008-09-06')
(u'10/11/70', '1970-10-11')
(u'29 august 2012', '2012-08-29')
(u'17 jun 2008', '2008-06-17')
(u'sunday march 28 1982', '1982-03-28')
(u'sunday october 21 1979', '1979-10-21')
(u'13 04 10', '2010-04-13')
(u'thursday february 14 1991', '1991-02-14')
(u'wednesday august 20 1980', '1980-08-20')
(u'friday july 5 1996', '1996-07-05')
(u'may 29 2015', '2015-05-29')
(u'15 june 2012', '2012-06-15')
(u'14 jul 1996', '1996-07-14')
(u'20 nov 1996', '1996-11-20')
(u'4 november 2005', '2005-11-04')
(u'tuesday july 29 1986', '1986-07-29')
(u'11/24/71', '1971-11-24')
(u'wednesday april 19 1995', '1995-04-19')
(u'june 5 1975', '1975-06-05')
(u'saturday december 10 1983', '1983-12-10')
(u'thursday march 14 1985', '1985-03-14')
(u'wednesday march 27 1996', '1996-03-27')
(u'feb 28 1972', '1972-02-28')
(u'tuesday june 30 1981', '1981-06-30')
(u'7/22/70', '1970-07-22')
(u'5 november 2011', '2011-11-05')
(u'13.04.18', '2018-04-13')
(u'29 aug 2004', '2004-08-29')
(u'12/14/70', '1970-12-14')
(u'february 10 1976', '1976-02-10')
(u'16 feb 2007', '2007-02-16')
(u'friday april 9 1993', '1993-04-09')
(u'9 september 2004', '2004-09-09')
(u'thursday april 23 1987', '1987-04-23')
(u'february 12 2015', '2015-02-12')
(u'monday september 17 1984', '1984-09-17')
(u'7 december 1998', '1998-12-07')
(u'19 oct 1997', '1997-10-19')
(u'monday february 21 1983', '1983-02-21')
(u'wednesday january 4 1984', '1984-01-04')
(u'november 14 2016', '2016-11-14')
(u'march 21 2015', '2015-03-21')
(u'9 october 2011', '2011-10-09')
(u'7 july 2005', '2005-07-07')
(u'21 nov 1997', '1997-11-21')
(u'sunday september 15 1985', '1985-09-15')
(u'february 8 1975', '1975-02-08')
(u'october 4 2015', '2015-10-04')
(u'12 jan 2008', '2008-01-12')
(u'monday august 16 1982', '1982-08-16')
(u'march 18 2013', '2013-03-18')
(u'26 jun 1998', '1998-06-26')
(u'july 6 1974', '1974-07-06')
(u'friday september 20 1985', '1985-09-20')
(u'wednesday august 12 1981', '1981-08-12')
(u'08 jul 2007', '2007-07-08')
(u'23 05 10', '2010-05-23')
(u'19 sep 2000', '2000-09-19')
(u'friday may 17 1991', '1991-05-17')
(u'20 october 2011', '2011-10-20')
(u'sunday november 12 1989', '1989-11-12')
(u'friday february 11 1977', '1977-02-11')
(u'25 nov 2001', '2001-11-25')
(u'may 12 2014', '2014-05-12')
(u'july 25 2013', '2013-07-25')
(u'4 06 10', '2010-06-04')
(u'thursday may 30 1991', '1991-05-30')
(u'saturday august 28 1993', '1993-08-28')
(u'27 mar 2001', '2001-03-27')
(u'saturday march 9 1996', '1996-03-09')
(u'december 24 2014', '2014-12-24')
(u'27 mar 2003', '2003-03-27')
(u'9 june 2011', '2011-06-09')
(u'31 december 1999', '1999-12-31')
(u'feb 16 1973', '1973-02-16')
(u'nov 12 1973', '1973-11-12')
(u'monday january 4 1982', '1982-01-04')
(u'27 december 1998', '1998-12-27')
(u'may 6 2013', '2013-05-06')
(u'september 17 2013', '2013-09-17')
(u'10 february 1999', '1999-02-10')
(u'tuesday january 18 1983', '1983-01-18')
(u'2 december 1998', '1998-12-02')
(u'friday december 4 1981', '1981-12-04')
(u'wednesday june 28 1995', '1995-06-28')
(u'friday february 11 1994', '1994-02-11')
(u'october 4 2015', '2015-10-04')
(u'march 31 2014', '2014-03-31')
(u'jun 1 1972', '1972-06-01')
(u'3 02 10', '2010-02-03')
(u'18 june 1999', '1999-06-18')
(u'3 may 1999', '1999-05-03')
(u'thursday december 5 1991', '1991-12-05')
(u'july 21 2013', '2013-07-21')
(u'12 jan 2008', '2008-01-12')
(u'wednesday january 26 1977', '1977-01-26')
(u'tuesday december 23 1986', '1986-12-23')
(u'thursday april 15 1982', '1982-04-15')
(u'saturday november 8 1980', '1980-11-08')
(u'thursday january 31 1980', '1980-01-31')
(u'2 nov 2002', '2002-11-02')
(u'tuesday december 29 1987', '1987-12-29')
(u'friday february 26 1982', '1982-02-26')
(u'thursday january 16 1986', '1986-01-16')
(u'30 april 2011', '2011-04-30')
(u'tuesday march 8 1977', '1977-03-08')
(u'2 august 2012', '2012-08-02')
(u'28 may 1999', '1999-05-28')
(u'friday may 28 1993', '1993-05-28')
(u'wednesday january 4 1978', '1978-01-04')
(u'26.10.18', '2018-10-26')
(u'20 07 10', '2010-07-20')
(u'19 may 2000', '2000-05-19')
(u'sunday february 11 1996', '1996-02-11')
(u'24 december 1999', '1999-12-24')
(u'tuesday march 7 1989', '1989-03-07')
(u'5/15/71', '1971-05-15')
(u'thursday february 22 1979', '1979-02-22')
(u'friday june 27 1986', '1986-06-27')
(u'january 7 1975', '1975-01-07')
(u'23 feb 2007', '2007-02-23')
(u'5 jan 1997', '1997-01-05')
(u'9 february 2011', '2011-02-09')
(u'april 24 2013', '2013-04-24')
(u'2 august 1998', '1998-08-02')
(u'24 apr 2002', '2002-04-24')
(u'wednesday october 1 1980', '1980-10-01')
(u'february 4 1975', '1975-02-04')
(u'12 december 2005', '2005-12-12')
(u'25 october 2012', '2012-10-25')
(u'monday july 21 1980', '1980-07-21')
(u'15 june 2011', '2011-06-15')
(u'friday august 10 1990', '1990-08-10')
(u'31 july 1998', '1998-07-31')
(u'march 11 2013', '2013-03-11')
(u'february 19 2014', '2014-02-19')
(u'9 11 09', '2009-11-09')
(u'5 07 10', '2010-07-05')
(u'2 feb 2004', '2004-02-02')
(u'16 09 10', '2010-09-16')
(u'23 11 09', '2009-11-23')
(u'friday december 31 1982', '1982-12-31')
(u'1 apr 1998', '1998-04-01')
(u'jul 3 1972', '1972-07-03')
(u'friday november 23 1979', '1979-11-23')
(u'november 21 2015', '2015-11-21')
(u'monday september 18 1978', '1978-09-18')
(u'saturday october 21 1989', '1989-10-21')
(u'thursday january 3 1980', '1980-01-03')
(u'wednesday june 17 1981', '1981-06-17')
(u'wednesday february 28 1990', '1990-02-28')
(u'july 31 1974', '1974-07-31')
(u'12 april 2006', '2006-04-12')
(u'wednesday october 8 1980', '1980-10-08')
(u'saturday april 9 1977', '1977-04-09')
(u'monday june 1 1992', '1992-06-01')
(u'sunday march 14 1993', '1993-03-14')
(u'sunday october 15 1989', '1989-10-15')
(u'04.06.17', '2017-06-04')
(u'march 23 2016', '2016-03-23')
(u'6 september 2011', '2011-09-06')
(u'27 jan 1998', '1998-01-27')
(u'tuesday june 8 1976', '1976-06-08')
(u'5 aug 2003', '2003-08-05')
(u'monday december 14 1981', '1981-12-14')
(u'10 dec 1996', '1996-12-10')
(u'sunday april 10 1977', '1977-04-10')
(u'27 apr 2003', '2003-04-27')
(u'tuesday july 29 1980', '1980-07-29')
(u'december 29 2015', '2015-12-29')
(u'31 jul 2007', '2007-07-31')
(u'13 jun 1997', '1997-06-13')
(u'may 30 1975', '1975-05-30')
(u'saturday march 15 1980', '1980-03-15')
(u'saturday august 31 1991', '1991-08-31')
(u'3 november 2004', '2004-11-03')
(u'monday january 11 1993', '1993-01-11')
(u'august 19 2013', '2013-08-19')
(u'2 apr 1997', '1997-04-02')
(u'thursday august 26 1982', '1982-08-26')
(u'monday january 14 1980', '1980-01-14')
(u'feb 28 1973', '1973-02-28')
(u'15 11 09', '2009-11-15')
(u'june 4 2013', '2013-06-04')
(u'5 january 2011', '2011-01-05')
(u'august 31 2013', '2013-08-31')
(u'30 december 2010', '2010-12-30')
(u'saturday march 26 1994', '1994-03-26')
(u'thursday may 4 1989', '1989-05-04')
(u'22 february 1999', '1999-02-22')
(u'september 9 2015', '2015-09-09')
(u'monday august 27 1979', '1979-08-27')
(u'august 28 2016', '2016-08-28')
(u'24 january 2005', '2005-01-24')
(u'saturday september 11 1976', '1976-09-11')
(u'5/31/71', '1971-05-31')
(u'tuesday april 26 1977', '1977-04-26')
(u'march 30 2013', '2013-03-30')
(u'monday august 27 1984', '1984-08-27')
(u'10 05 09', '2009-05-10')
(u'13 jul 2004', '2004-07-13')
(u'sunday july 8 1979', '1979-07-08')
(u'tuesday july 8 1986', '1986-07-08')
(u'thursday december 17 1981', '1981-12-17')
(u'august 26 1975', '1975-08-26')
(u'wednesday may 14 1986', '1986-05-14')
(u'14 mar 2004', '2004-03-14')
(u'tuesday september 6 1994', '1994-09-06')
(u'6 jul 1996', '1996-07-06')
(u'monday october 12 1992', '1992-10-12')
(u'21 feb 2001', '2001-02-21')
(u'18 jun 1997', '1997-06-18')
(u'friday april 15 1977', '1977-04-15')
(u'november 20 1974', '1974-11-20')
(u'thursday april 3 1986', '1986-04-03')
(u'18 jul 2004', '2004-07-18')
(u'8 02 09', '2009-02-08')
(u'thursday august 17 1995', '1995-08-17')
(u'2 february 2012', '2012-02-02')
(u'31 may 2002', '2002-05-31')
(u'10 10 09', '2009-10-10')
(u'15 nov 2000', '2000-11-15')
(u'march 30 2013', '2013-03-30')
(u'monday june 17 1985', '1985-06-17')
(u'wednesday january 20 1982', '1982-01-20')
(u'26 dec 2000', '2000-12-26')
(u'16 apr 2001', '2001-04-16')
(u'20 dec 1996', '1996-12-20')
(u'thursday january 14 1982', '1982-01-14')
(u'13 september 2006', '2006-09-13')
(u'07 jan 2002', '2002-01-07')
(u'monday july 13 1992', '1992-07-13')
(u'19 mar 1997', '1997-03-19')
(u'saturday may 26 1984', '1984-05-26')
(u'saturday january 14 1989', '1989-01-14')
(u'22.04.17', '2017-04-22')
(u'wednesday december 1 1976', '1976-12-01')
(u'tuesday february 1 1994', '1994-02-01')
(u'18 october 1999', '1999-10-18')
(u'tuesday june 28 1994', '1994-06-28')
(u'tuesday may 26 1992', '1992-05-26')
(u'november 18 1974', '1974-11-18')
(u'21 01 09', '2009-01-21')
(u'feb 18 1973', '1973-02-18')
(u'monday october 5 1987', '1987-10-05')
(u'wednesday june 21 1989', '1989-06-21')
(u'friday april 28 1978', '1978-04-28')
(u'july 18 2013', '2013-07-18')
(u'6 06 10', '2010-06-06')
(u'2/14/71', '1971-02-14')
(u'11/18/71', '1971-11-18')
(u'nov 30 1972', '1972-11-30')
(u'sunday june 7 1981', '1981-06-07')
(u'monday july 10 1978', '1978-07-10')
(u'monday february 15 1993', '1993-02-15')
(u'saturday march 20 1976', '1976-03-20')
(u'1/14/72', '1972-01-14')
(u'04.12.18', '2018-12-04')
(u'june 4 2013', '2013-06-04')
(u'oct 2 1973', '1973-10-02')
(u'thursday october 30 1986', '1986-10-30')
(u'sunday november 18 1979', '1979-11-18')
(u'saturday january 22 1977', '1977-01-22')
(u'18 mar 1997', '1997-03-18')
(u'friday april 19 1991', '1991-04-19')
(u'sunday may 26 1985', '1985-05-26')
(u'thursday march 10 1994', '1994-03-10')
(u'monday july 19 1993', '1993-07-19')
(u'jan 24 1972', '1972-01-24')
(u'nov 14 1973', '1973-11-14')
(u'monday may 28 1990', '1990-05-28')
(u'3 aug 2004', '2004-08-03')
(u'18 08 09', '2009-08-18')
(u'monday august 14 1989', '1989-08-14')
(u'10/20/70', '1970-10-20')
(u'13 april 2012', '2012-04-13')
(u'6/6/71', '1971-06-06')
(u'tuesday march 8 1983', '1983-03-08')
(u'2 november 1998', '1998-11-02')
(u'saturday september 4 1993', '1993-09-04')
(u'tuesday december 7 1982', '1982-12-07')
(u'17 december 1999', '1999-12-17')
(u'wednesday march 22 1978', '1978-03-22')
(u'01 apr 2007', '2007-04-01')
(u'9/1/71', '1971-09-01')
(u'9/9/71', '1971-09-09')
(u'friday october 25 1985', '1985-10-25')
(u'14 01 09', '2009-01-14')
(u'16 september 2011', '2011-09-16')
(u'november 24 2014', '2014-11-24')
(u'sunday january 7 1990', '1990-01-07')
(u'october 31 2014', '2014-10-31')
(u'thursday august 25 1988', '1988-08-25')
(u'monday march 6 1995', '1995-03-06')
